OrganizationID,County,State,ZipCode
Organization 1,Jefferson,KY,40202
Organization 2,Jefferson,KY,40202
Organization 3,Jefferson,KY,40203
Organization 4,Jefferson,KY,
Organization 5,Jefferson,KY,40204
Organization 6,Jefferson,KY,
Organization 7,Jefferson,KY,40299
Organization 8,Jefferson,KY,40205
Organization 9,Jefferson,KY,
Organization 10,Jefferson,KY,
Organization 11,Jefferson,KY,
Organization 12,Jefferson,KY,
Organization 13,Jefferson,KY,
Organization 14,Jefferson,KY,40205
Organization 15,Jefferson,KY,40214
Organization 16,Jefferson,KY,40203
Organization 17,Jefferson,KY,40208
Organization 18,Jefferson,KY,40202
Organization 19,Jefferson,KY,40202
Organization 20,Jefferson,KY,40203
Organization 21,Jefferson,KY,40203
Organization 22,Jefferson,KY,
Organization 23,Jefferson,KY,
Organization 24,Jefferson,KY,
Organization 25,Jefferson,KY,40205
Organization 26,Jefferson,KY,40214
Organization 27,Jefferson,KY,
Organization 28,Jefferson,KY,40299
Organization 29,Jefferson,KY,
Organization 30,Jefferson,KY,
Organization 31,Shelby,KY,40065
Organization 32,Shelby,KY,40065
Organization 33,Shelby,KY,40065
Organization 34,Jefferson,KY,40208
Organization 35,Jefferson,KY,40223
Organization 36,Jefferson,KY,40207
Organization 37,Jefferson,KY,40203
Organization 38,Jefferson,KY,40203
Organization 39,Jefferson,KY,40218
Organization 40,Jefferson,KY,40208
Organization 41,Jefferson,KY,40217
Organization 42,Jefferson,KY,40218
Organization 43,Jefferson,KY,40218
Organization 44,Jefferson,KY,40214
Organization 45,Jefferson,KY,40203
Organization 46,Bullitt,KY,40165
Organization 47,Bullitt,KY,40165
Organization 48,Jefferson,KY,
Organization 49,Jefferson,KY,40208
Organization 50,Jefferson,KY,40212
Organization 51,Jefferson,KY,40212
Organization 52,Jefferson,KY,40208
Organization 53,Jefferson,KY,40208
Organization 54,Jefferson,KY,40212
Organization 55,Jefferson,KY,40208
Organization 56,Jefferson,KY,40208
Organization 57,Shelby,KY,40065
Organization 58,Jefferson,KY,40202
Organization 59,Jefferson,KY,40202
Organization 60,Jefferson,KY,40203
Organization 61,Jefferson,KY,40209
Organization 62,Jefferson,KY,
Organization 63,Jefferson,KY,40208
Organization 64,Jefferson,KY,40203
Organization 65,Jefferson,KY,40202
Organization 66,Jefferson,KY,40203
Organization 67,Jefferson,KY,
Organization 68,Jefferson,KY,40202
Organization 69,Jefferson,KY,40243
Organization 70,Shelby,KY,40065
Organization 71,Jefferson,KY,
Organization 72,Jefferson,KY,40228
Organization 73,Jefferson,KY,40212
Organization 74,Jefferson,KY,40203
Organization 75,Jefferson,KY,40206
Organization 76,Jefferson,KY,40242
Organization 77,Jefferson,KY,40203
Organization 78,Jefferson,KY,40214
Organization 79,Jefferson,KY,40202
Organization 80,Jefferson,KY,40202
Organization 81,Jefferson,KY,40216
Organization 82,Jefferson,KY,40272
Organization 83,Jefferson,KY,
Organization 84,Jefferson,KY,40203
Organization 85,Jefferson,KY,40203
Organization 86,Jefferson,KY,40206
Organization 87,Jefferson,KY,40214
Organization 88,Jefferson,KY,40204
Organization 89,Jefferson,KY,40215
Organization 90,Jefferson,KY,40202
Organization 91,Jefferson,KY,40212
Organization 92,Jefferson,KY,40208
Organization 93,Jefferson,KY,40291
Organization 94,Jefferson,KY,40220
Organization 95,Jefferson,KY,40214
Organization 96,Jefferson,KY,40207
Organization 97,Jefferson,KY,40204
Organization 98,Jefferson,KY,
Organization 99,Jefferson,KY,40245
Organization 100,Jefferson,KY,40204
Organization 101,Jefferson,KY,40204
Organization 102,Jefferson,KY,
Organization 103,Jefferson,KY,40202
Organization 104,Jefferson,KY,40202
Organization 105,Jefferson,KY,40204
Organization 106,Jefferson,KY,
Organization 107,Jefferson,KY,40202
Organization 108,Jefferson,KY,
