OrganizationID,County,State,ZipCode
Organization 1,Jefferson County,KY,40202
Organization 2,Jefferson County,KY,40202
Organization 3,Jefferson County,KY,40203
Organization 4,Jefferson County,KY,
Organization 5,Jefferson County,KY,40204
Organization 6,Jefferson County,KY,
Organization 7,Jefferson County,KY,40299
Organization 8,Jefferson County,KY,40205
Organization 9,Jefferson County,KY,
Organization 10,Jefferson County,KY,
Organization 11,Jefferson County,KY,
Organization 12,Jefferson County,KY,
Organization 13,Jefferson County,KY,
Organization 14,Jefferson County,KY,40205
Organization 15,Jefferson County,KY,40214
Organization 16,Jefferson County,KY,40203
Organization 17,Jefferson County,KY,40208
Organization 18,Jefferson County,KY,40202
Organization 19,Jefferson County,KY,40202
Organization 20,Jefferson County,KY,40203
Organization 21,Jefferson County,KY,40203
Organization 22,Jefferson County,KY,
Organization 23,Jefferson County,KY,
Organization 24,Jefferson County,KY,
Organization 25,Jefferson County,KY,40205
Organization 26,Jefferson County,KY,40214
Organization 27,Jefferson County,KY,
Organization 28,Jefferson County,KY,40299
Organization 29,Jefferson County,KY,
Organization 30,Jefferson County,KY,
Organization 31,Shelby County,KY,40065
Organization 32,Shelby County,KY,40065
Organization 33,Shelby County,KY,40065
Organization 34,Jefferson County,KY,40208
Organization 35,Jefferson County,KY,40223
Organization 36,Jefferson County,KY,40207
Organization 37,Jefferson County,KY,40203
Organization 38,Jefferson County,KY,40203
Organization 39,Jefferson County,KY,40218
Organization 40,Jefferson County,KY,40208
Organization 41,Jefferson County,KY,40217
Organization 42,Jefferson County,KY,40218
Organization 43,Jefferson County,KY,40218
Organization 44,Jefferson County,KY,40214
Organization 45,Jefferson County,KY,40203
Organization 46,Bullitt County,KY,40165
Organization 47,Bullitt County,KY,40165
Organization 48,Jefferson County,KY,
Organization 49,Jefferson County,KY,40208
Organization 50,Jefferson County,KY,40212
Organization 51,Jefferson County,KY,40212
Organization 52,Jefferson County,KY,40208
Organization 53,Jefferson County,KY,40208
Organization 54,Jefferson County,KY,40212
Organization 55,Jefferson County,KY,40208
Organization 56,Jefferson County,KY,40208
Organization 57,Shelby County,KY,40065
Organization 58,Jefferson County,KY,40202
Organization 59,Jefferson County,KY,40202
Organization 60,Jefferson County,KY,40203
Organization 61,Jefferson County,KY,40209
Organization 62,Jefferson County,KY,
Organization 63,Jefferson County,KY,40208
Organization 64,Jefferson County,KY,40203
Organization 65,Jefferson County,KY,40202
Organization 66,Jefferson County,KY,40203
Organization 67,Jefferson County,KY,
Organization 68,Jefferson County,KY,40202
Organization 69,Jefferson County,KY,40243
Organization 70,Shelby County,KY,40065
Organization 71,Jefferson County,KY,
Organization 72,Jefferson County,KY,40228
