OrganizationID,County,State,ZipCode
Organization 374,Floyd,IN,47150
Organization 375,Harrison,IN,
Organization 376,Harrison,IN,47112
Organization 377,Harrison,IN,47112
Organization 378,Clark,IN,
Organization 379,Floyd,IN,
Organization 380,Harrison,IN,
Organization 381,Clark,IN,47130
Organization 382,Clark,IN,47130
Organization 383,Clark,IN,47111
Organization 384,Floyd,IN,47150
Organization 385,Harrison,IN,47112
Organization 386,Clark,IN,47130
Organization 387,Clark,IN,47129
Organization 388,Floyd,IN,47150
Organization 389,Clark,IN,47130
Organization 390,Clark,IN,47130
Organization 391,Floyd,IN,47150
Organization 392,Clark,IN,47130
Organization 393,Clark,IN,47130
Organization 394,Clark,IN,47130
Organization 395,Floyd,IN,47150
Organization 396,Harrison,IN,47112
Organization 397,Floyd,IN,47150
Organization 398,Clark,IN,47129
Organization 399,Clark,IN,47130
Organization 400,Floyd,IN,47150
Organization 401,Harrison,IN,
Organization 402,Harrison,IN,
Organization 403,Clark,IN,47130
Organization 404,Floyd,IN,47150
Organization 405,Floyd,IN,47150
Organization 406,Floyd,IN,47150
Organization 407,Clark,IN,47130
Organization 408,Floyd,IN,47150
Organization 409,Harrison,IN,47112
Organization 410,Clark,IN,47130
Organization 411,Clark,IN,47129
Organization 412,Clark,IN,
Organization 413,Floyd,IN,
Organization 414,Harrison,IN,
Organization 415,Floyd,IN,
Organization 416,Clark,IN,47130
Organization 417,Clark,IN,47130
Organization 418,Clark,IN,47129
Organization 419,Clark,IN,47130
Organization 420,Floyd,IN,47150
Organization 421,Floyd,IN,47150
Organization 422,Floyd,IN,47150
Organization 423,Clark,IN,47130
Organization 424,Clark,IN,47129
Organization 425,Clark,IN,47130
Organization 426,Floyd,IN,47150
Organization 427,Floyd,IN,47150
Organization 428,Floyd,IN,47150
Organization 429,Floyd,IN,47150
Organization 430,Clark,IN,47130
Organization 431,Floyd,IN,47150
Organization 432,Clark,IN,47130
Organization 433,Floyd,IN,47150
Organization 434,Harrison,IN,47112
Organization 435,Floyd,IN,47150
Organization 436,Harrison,IN,
Organization 437,Floyd,IN,47150
Organization 438,Harrison,IN,47112
Organization 439,Clark,IN,47129
Organization 440,Harrison,IN,
Organization 441,Harrison,IN,
Organization 442,Floyd,IN,
Organization 443,Harrison,IN,
Organization 444,Floyd,IN,47150
Organization 445,Clark,IN,47130
Organization 446,Floyd,IN,47150
Organization 447,Harrison,IN,47112
Organization 448,Clark,IN,47130
Organization 449,Floyd,IN,47150
Organization 450,Harrison,IN,47112
