ReferralID,ClientID,Original Date Created,Address 1 County,Address 1 State,Address 1 Postal Code,Original Sender,Service Type,Service Subtype
7026,401,6/19/2022 14:12,Jefferson County,KY,40203,Organization 104,Transportation,Ride Coordination
7034,38,6/2/2022 18:40,Jefferson County,KY,40211,Organization 104,Transportation,Ride Coordination
7038,121,6/21/2022 12:48,Jefferson County,KY,40210,Organization 104,Transportation,Ride Coordination
7068,38,6/16/2022 18:34,Jefferson County,KY,40211,Organization 104,Transportation,Ride Coordination
7071,140,6/29/2022 19:48,Jefferson County,KY,,Organization 104,Transportation,Ride Coordination
7077,146,6/27/2022 19:01,Jefferson County,KY,40023,Organization 104,Transportation,Ride Coordination
7089,366,6/27/2022 12:53,Jefferson County,KY,40219,Organization 104,Transportation,Ride Coordination
7097,140,6/8/2022 16:55,Jefferson County,KY,,Organization 104,Transportation,Ride Coordination
7104,187,6/24/2022 20:37,Jefferson County,KY,40212,Organization 104,Transportation,Ride Coordination
7111,881,6/1/2022 15:05,Jefferson County,KY,40212,Organization 104,Transportation,Ride Coordination
7148,730,6/9/2022 22:34,Jefferson County,KY,40203,Organization 104,Transportation,Ride Coordination
7231,122,6/21/2022 12:46,Jefferson County,KY,40214,Organization 104,Transportation,Ride Coordination
7274,38,6/28/2022 17:42,Jefferson County,KY,40211,Organization 104,Transportation,Ride Coordination
7299,177,6/1/2022 10:54,Jefferson County,KY,40216,Organization 104,Transportation,Ride Coordination
7317,38,6/9/2022 18:18,Jefferson County,KY,40211,Organization 104,Transportation,Ride Coordination
7332,38,6/29/2022 17:22,Jefferson County,KY,40211,Organization 104,Transportation,Ride Coordination
7377,572,6/20/2022 19:49,Jefferson County,KY,40219,Organization 104,Transportation,Ride Coordination
7396,689,6/15/2022 18:00,Jefferson County,KY,40216,Organization 104,Transportation,Ride Coordination
7412,844,6/2/2022 21:30,Jefferson County,KY,40210,Organization 104,Transportation,Ride Coordination
7414,117,6/23/2022 17:54,Jefferson County,KY,40212,Organization 104,Transportation,Ride Coordination
7424,38,6/7/2022 17:33,Jefferson County,KY,40211,Organization 104,Transportation,Ride Coordination
7427,38,6/22/2022 16:52,Jefferson County,KY,40211,Organization 104,Transportation,Ride Coordination
7437,117,6/14/2022 13:08,Jefferson County,KY,40212,Organization 104,Transportation,Ride Coordination
7445,752,6/10/2022 20:43,Jefferson County,KY,40210,Organization 104,Transportation,Ride Coordination
