ServiceEpisodeID,ClientID,Created At,Service Type,Service Subtype,Originating Organization,Address 1 County,Address 1 State,Address 1 Postal Code,Gender,Age
1533,401,2022-06-19 23:30:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24.0
1533,401,2022-06-19 23:30:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24.0
1534,38,2022-06-29 17:22:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
1568,140,2022-06-08 16:55:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40202.0,Male,54.0
1599,392,2021-12-22 20:57:00,Money Management,Financial Counseling,Organization 104,Jefferson County,KY,40212,Female,25.0
1602,121,2022-06-28 10:38:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,21.0
1607,730,2022-06-09 22:34:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,40.0
1616,122,2022-06-23 20:06:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24.0
1702,572,2022-06-21 14:59:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40219,Female,41.0
1741,401,2022-06-06 16:11:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24.0
1743,117,2022-06-23 17:54:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Male,18.0
1816,146,2022-06-25 16:43:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40023,Female,59.0
1822,728,2022-06-14 20:34:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40202,Male,51.0
1823,117,2022-06-14 13:08:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Male,18.0
1840,343,2022-06-27 18:06:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,20.0
1842,187,2022-06-24 20:37:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Female,20.0
1865,38,2022-06-15 16:41:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
1866,1102,2022-06-01 16:13:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40218,Male,54.0
1883,844,2022-06-02 21:30:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Female,29.0
1919,146,2022-06-29 19:06:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40023,Female,59.0
1922,177,2022-06-22 22:07:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40216,Female,22.0
1945,877,2022-06-03 14:58:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Female,45.0
2022,146,2022-06-25 16:41:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40023,Female,59.0
2085,130,2022-06-30 11:10:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,20.0
2092,122,2022-06-23 10:46:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24.0
2154,122,2022-06-30 10:57:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24.0
2162,185,2022-06-24 19:01:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40204,Male,52.0
2166,329,2022-06-27 12:40:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40202,Male,58.0
2233,38,2022-06-30 18:12:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2248,146,2022-06-27 19:03:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40023,Female,59.0
2261,38,2022-06-10 18:10:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2265,572,2022-06-21 15:42:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40219,Female,41.0
2300,572,2022-06-20 19:49:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40219,Female,41.0
2310,140,2022-06-29 19:48:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40202.0,Male,54.0
2364,122,2022-06-13 16:26:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24.0
2376,38,2022-06-28 17:42:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2414,38,2022-06-03 18:40:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2498,405,2022-06-21 16:08:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40291,Male,22.0
2501,121,2022-06-30 11:00:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,21.0
2583,117,2022-06-30 12:59:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Male,18.0
2701,38,2022-06-07 17:33:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2716,146,2022-06-27 19:01:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40023,Female,59.0
2739,122,2022-06-21 12:46:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24.0
2748,752,2022-06-10 20:43:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Female,25.0
2761,38,2022-06-22 16:52:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2763,38,2022-06-02 18:40:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2767,38,2022-06-17 12:41:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2767,38,2022-06-17 12:41:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2775,366,2022-06-27 12:53:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40219,Female,57.0
2803,329,2022-06-27 19:07:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40202,Male,58.0
2830,38,2022-06-16 18:34:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2830,38,2022-06-16 18:34:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2886,38,2022-06-13 18:38:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
2958,177,2022-06-01 10:54:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40216,Female,22.0
2998,624,2022-06-16 18:08:00,Employment,Job Search/Placement,Organization 104,Jefferson County,KY,40210,Female,37.0
3016,122,2022-06-27 12:48:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24.0
3086,121,2022-06-21 12:48:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,21.0
3114,689,2022-06-15 18:00:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40216,Female,55.0
3119,119,2022-06-27 16:53:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,24.0
3192,121,2022-06-13 16:35:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,21.0
3285,117,2022-06-29 17:23:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Male,18.0
3341,1081,2022-06-02 13:11:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40202,Male,45.0
3355,177,2022-06-21 20:17:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40216,Female,22.0
3374,38,2022-06-01 16:11:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
3391,405,2022-06-16 19:38:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40291,Male,22.0
3391,405,2022-06-16 19:38:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40291,Male,22.0
3414,401,2022-06-19 14:12:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24.0
3414,401,2022-06-19 14:12:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24.0
3473,967,2022-06-07 12:56:00,Transportation,Ride Coordination,Organization 104,Oldham County,KY,40014,Female,40.0
3495,881,2022-06-01 15:05:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Female,40.0
3531,119,2022-06-30 11:04:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,24.0
3543,188,2022-06-24 20:39:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Female,25.0
3551,38,2022-06-09 18:18:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
3552,968,2022-06-07 12:46:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Female,34.0
3571,38,2022-06-23 17:45:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24.0
3576,121,2022-06-23 10:27:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,21.0
3607,401,2022-06-06 16:20:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24.0
