ServiceEpisodeID,ClientID,Created At,Service Type,Service Subtype,Originating Organization,Address 1 County,Address 1 State,Address 1 Postal Code,Gender,Age
1533,401,6/19/2022 23:30,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24
1533,401,6/19/2022 23:30,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24
1534,38,6/29/2022 17:22,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
1568,140,6/8/2022 16:55,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,,Male,54
1599,392,12/22/2021 20:57,Money Management,Financial Counseling,Organization 104,Jefferson County,KY,40212,Female,25
1602,121,6/28/2022 10:38,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,21
1607,730,6/9/2022 22:34,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,40
1616,122,6/23/2022 20:06,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24
1702,572,6/21/2022 14:59,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40219,Female,41
1741,401,6/6/2022 16:11,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24
1743,117,6/23/2022 17:54,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Male,18
1816,146,6/25/2022 16:43,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40023,Female,59
1822,728,6/14/2022 20:34,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40202,Male,51
1823,117,6/14/2022 13:08,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Male,18
1840,343,6/27/2022 18:06,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,20
1842,187,6/24/2022 20:37,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Female,20
1865,38,6/15/2022 16:41,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
1866,1102,6/1/2022 16:13,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40218,Male,54
1883,844,6/2/2022 21:30,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Female,29
1919,146,6/29/2022 19:06,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40023,Female,59
1922,177,6/22/2022 22:07,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40216,Female,22
1945,877,6/3/2022 14:58,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Female,45
2022,146,6/25/2022 16:41,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40023,Female,59
2085,130,6/30/2022 11:10,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,20
2092,122,6/23/2022 10:46,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24
2154,122,6/30/2022 10:57,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24
2162,185,6/24/2022 19:01,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40204,Male,52
2166,329,6/27/2022 12:40,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40202,Male,58
2233,38,6/30/2022 18:12,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2248,146,6/27/2022 19:03,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40023,Female,59
2261,38,6/10/2022 18:10,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2265,572,6/21/2022 15:42,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40219,Female,41
2300,572,6/20/2022 19:49,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40219,Female,41
2310,140,6/29/2022 19:48,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,,Male,54
2364,122,6/13/2022 16:26,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24
2376,38,6/28/2022 17:42,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2414,38,6/3/2022 18:40,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2498,405,6/21/2022 16:08,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40291,Male,22
2501,121,6/30/2022 11:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,21
2583,117,6/30/2022 12:59,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Male,18
2701,38,6/7/2022 17:33,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2716,146,6/27/2022 19:01,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40023,Female,59
2739,122,6/21/2022 12:46,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24
2748,752,6/10/2022 20:43,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Female,25
2761,38,6/22/2022 16:52,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2763,38,6/2/2022 18:40,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2767,38,6/17/2022 12:41,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2767,38,6/17/2022 12:41,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2775,366,6/27/2022 12:53,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40219,Female,57
2803,329,6/27/2022 19:07,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40202,Male,58
2830,38,6/16/2022 18:34,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2830,38,6/16/2022 18:34,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2886,38,6/13/2022 18:38,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
2958,177,6/1/2022 10:54,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40216,Female,22
2998,624,6/16/2022 18:08,Employment,Job Search/Placement,Organization 104,Jefferson County,KY,40210,Female,37
3016,122,6/27/2022 12:48,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24
3086,121,6/21/2022 12:48,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,21
3114,689,6/15/2022 18:00,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40216,Female,55
3119,119,6/27/2022 16:53,Transportation,Ride Coordination,Organization 104,,KY,40210,Male,24
3192,121,6/13/2022 16:35,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,21
3285,117,6/29/2022 17:23,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Male,18
3341,1081,6/2/2022 13:11,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40202,Male,45
3355,177,6/21/2022 20:17,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40216,Female,22
3374,38,6/1/2022 16:11,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
3391,405,6/16/2022 19:38,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40291,Male,22
3391,405,6/16/2022 19:38,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40291,Male,22
3414,401,6/19/2022 14:12,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24
3414,401,6/19/2022 14:12,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24
3473,967,6/7/2022 12:56,Transportation,Ride Coordination,Organization 104,Oldham County,KY,40014,Female,40
3495,881,6/1/2022 15:05,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Female,40
3531,119,6/30/2022 11:04,Transportation,Ride Coordination,Organization 104,,KY,40210,Male,24
3543,188,6/24/2022 20:39,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Female,25
3551,38,6/9/2022 18:18,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
3552,968,6/7/2022 12:46,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Female,34
3571,38,6/23/2022 17:45,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40211,Male,24
3576,121,6/23/2022 10:27,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40210,Male,21
3607,401,6/6/2022 16:20,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,24
3651,119,6/28/2022 13:26,Transportation,Ride Coordination,Organization 104,,KY,40210,Male,24
3663,122,6/28/2022 10:32,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40214,Male,24
3673,117,6/28/2022 10:36,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40212,Male,18
3707,730,6/14/2022 20:37,Transportation,Ride Coordination,Organization 104,Jefferson County,KY,40203,Male,40
1921,582,6/21/2022 13:18,Transportation,Ride Coordination,Organization 104,,,,Undisclosed,17
1954,758,6/14/2022 13:44,Transportation,Ride Coordination,Organization 104,,,,Female,28
2184,190,6/26/2022 11:18,Transportation,Ride Coordination,Organization 104,,,,Female,17
2254,379,6/27/2022 12:45,Transportation,Ride Coordination,Organization 104,,,,Female,62
2306,761,6/14/2022 13:10,Transportation,Ride Coordination,Organization 104,,,,Undisclosed,22
2355,350,6/16/2022 13:45,Employment,Job Search/Placement,Organization 104,Jefferson County,,40220,Undisclosed,67
2516,761,6/13/2022 12:47,Transportation,Ride Coordination,Organization 104,,,,Undisclosed,22
2991,1002,6/6/2022 12:16,Transportation,Ride Coordination,Organization 104,,,,Female,63
3096,180,6/23/2022 17:12,Transportation,Ride Coordination,Organization 104,,,,Male,26
3101,180,6/23/2022 17:10,Transportation,Ride Coordination,Organization 104,,,,Male,26
3127,610,6/16/2022 18:07,Employment,Job Search/Placement,Organization 104,Jefferson County,,40202,Undisclosed,52
3147,399,6/17/2022 18:32,Transportation,Ride Coordination,Organization 104,,,,Female,31
3382,399,6/17/2022 18:36,Transportation,Ride Coordination,Organization 104,,,,Female,31
3382,399,6/17/2022 18:36,Transportation,Ride Coordination,Organization 104,,,,Female,31
3532,688,6/15/2022 18:29,Transportation,Ride Coordination,Organization 104,,,,Undisclosed,20
2096,1084,6/1/2022 21:59,Money Management,Financial Counseling,Organization 109,Jefferson County,KY,40258,Female,16
1605,915,6/8/2022 14:43,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 113,Jefferson County,KY,40218,Undisclosed,26
1622,639,6/16/2022 17:49,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 113,Jefferson County,KY,40218,Female,61
3637,837,6/9/2022 15:13,Wellness,Mindfulness & Meditation,Organization 113,Jefferson County,KY,40204,Female,50
1576,531,3/1/2022 15:01,Clothing & Household Goods,,Organization 129,Jefferson County,KY,40214,Female,35
1646,529,3/1/2022 13:50,Clothing & Household Goods,,Organization 129,Jefferson County,KY,40215,Female,37
1993,456,1/25/2022 20:31,Utilities,Utility Bill Payment Assistance,Organization 129,Jefferson County,KY,40218,Male,9
2000,531,3/10/2022 16:53,Clothing & Household Goods,,Organization 129,Jefferson County,KY,40214,Female,35
2056,529,2/9/2022 17:21,Clothing & Household Goods,,Organization 129,Jefferson County,KY,40215,Female,37
2305,531,3/10/2022 16:53,Clothing & Household Goods,,Organization 129,Jefferson County,KY,40214,Female,35
2670,531,3/10/2022 16:52,Clothing & Household Goods,,Organization 129,Jefferson County,KY,40214,Female,35
2717,518,2/15/2022 19:43,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 129,Jefferson County,KY,40211,Female,38
3322,518,2/15/2022 19:43,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 129,Jefferson County,KY,40211,Female,38
3425,456,1/25/2022 20:31,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 129,Jefferson County,KY,40218,Male,9
3583,518,2/15/2022 19:43,Housing & Shelter,Rent/Mortgage Payment Assistance,Organization 129,Jefferson County,KY,40211,Female,38
3290,459,1/20/2022 21:06,Housing & Shelter,Permanent Housing,Organization 129,,,,Male,43
3301,87,6/29/2022 15:16,Utilities,Utility Bill Payment Assistance,Organization 132,Jefferson County,KY,40220,Male,29
1630,75,6/14/2022 17:19,Benefits Navigation,Immigration Services,Organization 134,Jefferson County,KY,40202,Male,0
1686,746,6/14/2022 17:17,Benefits Navigation,Immigration Services,Organization 134,Jefferson County,KY,,Female,49
1821,44,6/30/2022 17:18,Individual & Family Support,Social Service Case Management,Organization 134,Jefferson County,KY,40202,Female,71
1962,49,6/30/2022 17:10,Food Assistance,Emergency Food,Organization 134,Jefferson County,KY,40207,Male,63
2235,743,6/14/2022 17:24,Transportation,Ride Coordination,Organization 134,Jefferson County,KY,40202,Female,82
2441,744,6/14/2022 17:23,Transportation,Ride Coordination,Organization 134,Jefferson County,KY,40206,Female,77
2801,5,6/30/2022 17:13,Employment,Job Search/Placement,Organization 134,Jefferson County,KY,40220,Female,65
2866,54,6/30/2022 17:03,Food Assistance,Emergency Food,Organization 134,Jefferson County,KY,40218-5250,Female,26
2968,46,6/30/2022 17:15,Employment,Job Search/Placement,Organization 134,Jefferson County,KY,40219,Female,37
3193,51,6/30/2022 17:06,Food Assistance,Emergency Food,Organization 134,Jefferson County,KY,40218,Male,55
3241,709,6/14/2022 17:29,Individual & Family Support,Caregiving Services,Organization 134,Jefferson County,KY,40211,Male,63
1720,700,6/14/2022 17:21,Employment,Job Search/Placement,Organization 134,Jefferson County,,40291,Undisclosed,47
2005,253,6/27/2022 16:40,Employment,Job Search/Placement,Organization 135,Jefferson County,KY,40214,Female,27
2176,624,6/17/2022 15:14,Benefits Navigation,Health Insurance/Benefits,Organization 135,Jefferson County,KY,40210,Female,37
2764,625,6/17/2022 15:09,Legal,Expungements,Organization 135,Jefferson County,KY,40207,Undisclosed,53
2824,145,6/29/2022 19:17,Employment,Job Search/Placement,Organization 135,Jefferson County,KY,40242,Male,24
1652,352,6/27/2022 16:25,Employment,Job Search/Placement,Organization 135,,,40241,Undisclosed,59
3195,350,6/27/2022 16:36,Employment,Job Search/Placement,Organization 135,Jefferson County,,40220,Undisclosed,67
3205,391,6/24/2022 20:50,Employment,Job Search/Placement,Organization 135,Jefferson County,,40228,Undisclosed,58
3394,778,6/13/2022 21:25,Employment,Job Search/Placement,Organization 135,Jefferson County,,40203,Undisclosed,62
3500,701,6/13/2022 20:57,Employment,Job Search/Placement,Organization 135,Jefferson County,,40258,Undisclosed,54
3619,777,6/13/2022 21:34,Employment,Job Search/Placement,Organization 135,Jefferson County,,40291,Undisclosed,33
3706,351,6/27/2022 16:29,Employment,Job Search/Placement,Organization 135,Jefferson County,,40216,Undisclosed,58
2241,806,6/7/2022 16:55,Employment,Job Search/Placement,Organization 137,Jefferson County,KY,40211,Female,21
2534,822,6/7/2022 17:36,Employment,Job Search/Placement,Organization 137,Jefferson County,KY,40210,Female,39
2578,374,6/27/2022 13:38,Employment,Job Search/Placement,Organization 137,Jefferson County,KY,40211,Female,30
1709,523,6/22/2022 18:06,Employment,Job Training,Organization 138,Jefferson County,KY,40216,Undisclosed,36
2218,675,6/10/2022 19:39,Employment,Job Training,Organization 138,Jefferson County,KY,40206,Female,50
2250,425,6/23/2022 16:12,Employment,Job Training,Organization 138,Jefferson County,KY,40215,Undisclosed,36
2639,327,5/27/2022 14:55,Employment,Job Search/Placement,Organization 138,Jefferson County,KY,40210,Female,3
2688,806,6/9/2022 15:08,Employment,Job Search/Placement,Organization 138,Jefferson County,KY,40211,Female,21
2688,806,6/9/2022 15:08,,,Organization 138,Jefferson County,KY,40211,Female,21
2770,46,6/27/2022 14:02,Employment,Job Search/Placement,Organization 138,Jefferson County,KY,40219,Female,37
2968,46,6/27/2022 14:03,Employment,Job Search/Placement,Organization 138,Jefferson County,KY,40219,Female,37
3098,866,6/8/2022 18:57,Employment,Job Search/Placement,Organization 138,Jefferson County,KY,40202,Male,24
3104,608,6/17/2022 15:58,Employment,Job Search/Placement,Organization 138,Jefferson County,KY,40215,Undisclosed,25
3441,266,6/27/2022 19:21,Employment,Job Search/Placement,Organization 138,Jefferson County,KY,40203,Female,51
3555,625,6/14/2022 15:47,Employment,Job Search/Placement,Organization 138,Jefferson County,KY,40207,Undisclosed,53
3561,452,6/21/2022 14:16,Employment,Job Search/Placement,Organization 138,Jefferson County,KY,40208,Undisclosed,33
1503,298,5/18/2022 16:23,,,Organization 138,Jefferson County,,40203,Undisclosed,17
1532,41,6/30/2022 17:30,Employment,Career Skills Development,Organization 138,Jefferson County,,40219,Undisclosed,42
1577,297,5/23/2022 16:16,,,Organization 138,Jefferson County,,40203,Undisclosed,23
1595,691,6/15/2022 15:39,Employment,Job Training,Organization 138,Shelby County,,40065,Undisclosed,36
1603,564,6/14/2022 19:11,Employment,Job Search/Placement,Organization 138,Jefferson County,,40216,Undisclosed,57
1625,579,6/21/2022 14:13,Employment,Job Search/Placement,Organization 138,,,,,
1639,514,6/22/2022 20:21,Employment,Job Search/Placement,Organization 138,,,,,
1650,301,6/16/2022 14:55,Education,Computer/Technology Classes,Organization 138,Jefferson County,,40228,Undisclosed,24
1652,352,6/13/2022 18:06,Employment,Job Search/Placement,Organization 138,,,40241,Undisclosed,59
1676,451,6/23/2022 19:09,Education,Educational Support Services,Organization 138,Jefferson County,,40210,Undisclosed,17
1676,451,6/23/2022 19:09,Education,Educational Support Services,Organization 138,Jefferson County,,40210,Undisclosed,17
1676,451,6/14/2022 15:28,Education,Educational Support Services,Organization 138,Jefferson County,,40210,Undisclosed,17
1695,205,6/29/2022 13:30,Education,Educational Support Services,Organization 138,Hardin County,,40160,Undisclosed,22
1719,496,6/23/2022 14:30,Employment,Job Search/Placement,Organization 138,Jefferson County,,40215,Undisclosed,62
1720,700,6/3/2022 20:28,Employment,Job Search/Placement,Organization 138,Jefferson County,,40291,Undisclosed,47
1725,451,6/23/2022 19:08,Education,Educational Support Services,Organization 138,Jefferson County,,40210,Undisclosed,17
1725,451,6/23/2022 19:08,Education,Educational Support Services,Organization 138,Jefferson County,,40210,Undisclosed,17
1725,451,6/15/2022 18:53,Education,Educational Support Services,Organization 138,Jefferson County,,40210,Undisclosed,17
1730,831,6/10/2022 17:12,Employment,Job Training,Organization 138,,,,,
1764,610,6/16/2022 16:38,Employment,Job Search/Placement,Organization 138,Jefferson County,,40202,Undisclosed,52
1768,702,6/9/2022 14:56,Employment,Job Training,Organization 138,Jefferson County,,40214,Undisclosed,38
1779,825,6/8/2022 19:21,Employment,Job Search/Placement,Organization 138,,,40241,Undisclosed,22
1788,569,6/21/2022 16:35,Employment,Job Training,Organization 138,Jefferson County,,40219,Undisclosed,52
1826,543,6/22/2022 13:50,Employment,Job Training,Organization 138,Jefferson County,,40118,Undisclosed,42
1832,429,6/24/2022 12:08,Employment,Job Training,Organization 138,Bullitt County,,40165,Undisclosed,43
1837,976,6/6/2022 20:04,Education,Computer/Technology Classes,Organization 138,Jefferson County,,40218,Undisclosed,25
1862,909,6/7/2022 12:14,Employment,Job Search/Placement,Organization 138,,,40071,Undisclosed,31
1874,1018,5/19/2022 16:44,Employment,Job Search/Placement,Organization 138,Jefferson County,,40210,Undisclosed,22
1874,1018,5/19/2022 16:44,,,Organization 138,Jefferson County,,40210,Undisclosed,22
1875,408,6/24/2022 16:05,Employment,Job Training,Organization 138,,,,,
1891,789,6/6/2022 15:06,Employment,Job Search/Placement,Organization 138,,,40245,Undisclosed,54
1898,695,6/15/2022 15:22,Employment,Job Training,Organization 138,,,40272,Undisclosed,32
1903,449,6/21/2022 17:22,Employment,Job Training,Organization 138,Jefferson County,,40206,Undisclosed,30
1920,103,6/29/2022 13:38,Education,Educational Support Services,Organization 138,Jefferson County,,40211,Female,32
1937,1055,6/1/2022 19:35,Education,Educational Support Services,Organization 138,,,,Undisclosed,51
2055,109,6/23/2022 16:46,Education,Educational Support Services,Organization 138,Jefferson County,,40211,Undisclosed,26
2063,350,6/1/2022 16:05,Employment,Job Search/Placement,Organization 138,Jefferson County,,40220,Undisclosed,67
2107,493,6/23/2022 14:54,Employment,Job Search/Placement,Organization 138,,,,,
2123,424,5/23/2022 19:41,Employment,Job Search/Placement,Organization 138,,,40031,Undisclosed,28
2137,792,6/13/2022 15:14,Employment,Job Search/Placement,Organization 138,Jefferson County,,40217,Undisclosed,69
2137,792,6/13/2022 15:14,Employment,Job Search/Placement,Organization 138,Jefferson County,,40217,Undisclosed,69
2137,792,6/13/2022 14:34,Employment,Job Search/Placement,Organization 138,Jefferson County,,40217,Undisclosed,69
2155,364,6/6/2022 18:58,Employment,Job Training,Organization 138,Jefferson County,,40210,Undisclosed,39
2163,682,6/6/2022 20:31,Employment,Job Training,Organization 138,Jefferson County,,40216,Undisclosed,30
2165,564,6/21/2022 15:57,Employment,Job Search/Placement,Organization 138,Jefferson County,,40216,Undisclosed,57
2167,112,6/13/2022 13:21,Employment,Job Search/Placement,Organization 138,Jefferson County,,40299,Undisclosed,21
2167,112,6/13/2022 13:21,Employment,Job Search/Placement,Organization 138,Jefferson County,,40299,Undisclosed,21
2167,112,6/13/2022 13:20,Employment,Job Search/Placement,Organization 138,Jefferson County,,40299,Undisclosed,21
2186,587,6/21/2022 13:12,Employment,Job Search/Placement,Organization 138,Jefferson County,,40291,Undisclosed,54
2192,796,6/9/2022 20:27,Employment,Job Search/Placement,Organization 138,Jefferson County,,40207,Undisclosed,40
2208,108,6/27/2022 17:21,Food Assistance,SNAP/WIC/Other Nutrition Benefits,Organization 138,Jefferson County,,40204,Undisclosed,20
