ServiceEpisodeID,ClientID,Created At,Service Type,Service Subtype,Originating Organization,Duration of Case (days),Address 1 County,Address 1 State,Address 1 Postal Code,Gender,Age
1533,401,6/19/2022 23:30,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40203,Male,24
1534,38,6/29/2022 17:22,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
1568,140,6/8/2022 16:55,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,,Male,54
1599,392,12/22/2021 20:57,Money Management,Financial Counseling,Organization 104,,Jefferson County,KY,40212,Female,25
1602,121,6/28/2022 10:38,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40210,Male,21
1607,730,6/9/2022 22:34,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40203,Male,40
1616,122,6/23/2022 20:06,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40214,Male,24
1702,572,6/21/2022 14:59,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40219,Female,41
1741,401,6/6/2022 16:11,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40203,Male,24
1743,117,6/23/2022 17:54,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40212,Male,18
1816,146,6/25/2022 16:43,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40023,Female,59
1822,728,6/14/2022 20:34,Transportation,Ride Coordination,Organization 104,1.96,Jefferson County,KY,40202,Male,51
1823,117,6/14/2022 13:08,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40212,Male,18
1840,343,6/27/2022 18:06,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,20
1842,187,6/24/2022 20:37,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40212,Female,20
1865,38,6/15/2022 16:41,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
1866,1102,6/1/2022 16:13,Transportation,Ride Coordination,Organization 104,15.17,Jefferson County,KY,40218,Male,54
1883,844,6/2/2022 21:30,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40210,Female,29
1919,146,6/29/2022 19:06,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40023,Female,59
1922,177,6/22/2022 22:07,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40216,Female,22
1945,877,6/3/2022 14:58,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40210,Female,45
2022,146,6/25/2022 16:41,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40023,Female,59
2085,130,6/30/2022 11:10,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40203,Male,20
2092,122,6/23/2022 10:46,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40214,Male,24
2154,122,6/30/2022 10:57,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40214,Male,24
2162,185,6/24/2022 19:01,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40204,Male,52
2166,329,6/27/2022 12:40,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40202,Male,58
2233,38,6/30/2022 18:12,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
2248,146,6/27/2022 19:03,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40023,Female,59
2261,38,6/10/2022 18:10,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
2265,572,6/21/2022 15:42,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40219,Female,41
2300,572,6/20/2022 19:49,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40219,Female,41
2310,140,6/29/2022 19:48,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,,Male,54
2364,122,6/13/2022 16:26,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40214,Male,24
2376,38,6/28/2022 17:42,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
2414,38,6/3/2022 18:40,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40211,Male,24
2478,1081,5/31/2022 16:13,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40202,Male,45
2498,405,6/21/2022 16:08,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40291,Male,22
2501,121,6/30/2022 11:00,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40210,Male,21
2583,117,6/30/2022 12:59,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40212,Male,18
2701,38,6/7/2022 17:33,Transportation,Ride Coordination,Organization 104,9.11,Jefferson County,KY,40211,Male,24
2716,146,6/27/2022 19:01,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40023,Female,59
2739,122,6/21/2022 12:46,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40214,Male,24
2748,752,6/10/2022 20:43,Transportation,Ride Coordination,Organization 104,,Jefferson County,KY,40210,Female,25
